Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102.0,Sales,1.0,2.0,Life Sciences,1.0,1.0,2,Female,94.0,3.0,2,Sales Executive,4,Single,5993,19479.0,8.0,Y,Yes,11.0,3,1.0,80.0,0.0,8.0,0.0,1,6,4.0,0.0,5.0
49,No,Travel_Frequently,279.0,Research & Development,8.0,1.0,Life Sciences,1.0,2.0,3,Male,61.0,2.0,2,Research Scientist,2,Married,5130,24907.0,1.0,Y,No,23.0,4,4.0,80.0,1.0,10.0,3.0,3,10,7.0,1.0,7.0
37,Yes,Travel_Rarely,1373.0,Research & Development,2.0,2.0,Other,1.0,4.0,4,Male,92.0,2.0,1,Laboratory Technician,3,Single,2090,2396.0,6.0,Y,Yes,15.0,3,2.0,80.0,0.0,7.0,3.0,3,0,0.0,0.0,0.0
33,No,Travel_Frequently,1392.0,Research & Development,3.0,4.0,Life Sciences,1.0,5.0,4,Female,56.0,3.0,1,Research Scientist,3,Married,2909,23159.0,1.0,Y,Yes,11.0,3,3.0,80.0,0.0,8.0,3.0,3,8,7.0,3.0,0.0
27,No,Travel_Rarely,591.0,Research & Development,2.0,1.0,Medical,1.0,7.0,1,Male,40.0,3.0,1,Laboratory Technician,2,Married,3468,16632.0,9.0,Y,No,12.0,3,4.0,80.0,1.0,6.0,3.0,3,2,2.0,2.0,2.0
32,No,Travel_Frequently,1005.0,Research & Development,2.0,2.0,Life Sciences,1.0,8.0,4,Male,79.0,3.0,1,Laboratory Technician,4,Single,3068,11864.0,0.0,Y,No,13.0,3,3.0,80.0,0.0,8.0,2.0,2,7,7.0,3.0,6.0
59,No,Travel_Rarely,1324.0,Research & Development,3.0,3.0,Medical,1.0,10.0,3,Female,81.0,4.0,1,Laboratory Technician,1,Married,2670,9964.0,4.0,Y,Yes,20.0,4,1.0,80.0,3.0,12.0,3.0,2,1,0.0,0.0,0.0
30,No,Travel_Rarely,1358.0,Research & Development,24.0,1.0,Life Sciences,1.0,11.0,4,Male,67.0,3.0,1,Laboratory Technician,3,Divorced,2693,13335.0,1.0,Y,No,22.0,4,2.0,80.0,1.0,1.0,2.0,3,1,0.0,0.0,0.0
38,No,Travel_Frequently,216.0,Research & Development,23.0,3.0,Life Sciences,1.0,12.0,4,Male,44.0,2.0,3,Manufacturing Director,3,Single,9526,8787.0,0.0,Y,No,21.0,4,2.0,80.0,0.0,10.0,2.0,3,9,7.0,1.0,8.0
36,No,Travel_Rarely,1299.0,Research & Development,27.0,3.0,Medical,1.0,13.0,3,Male,94.0,3.0,2,Healthcare Representative,3,Married,5237,16577.0,6.0,Y,No,13.0,3,2.0,80.0,2.0,17.0,3.0,2,7,7.0,7.0,7.0
35,No,Travel_Rarely,809.0,Research & Development,16.0,3.0,Medical,1.0,14.0,1,Male,84.0,4.0,1,Laboratory Technician,2,Married,2426,16479.0,0.0,Y,No,13.0,3,3.0,80.0,1.0,6.0,5.0,3,5,4.0,0.0,3.0
